anfitriao_id,anf_data_cadastro,id_anuncio,nome_anuncio,bairro,tipo_propriedade,tipo_acomodacao,numero_hospedes,quartos,camas,preco,min_noites,max_noites,disponivel,numero_avaliaçoes,pontuacao_avaliacoes,confirmacao_instantanea
83950473,2016-07-15,1572715,"Heart of Copacabana flat near beach, underground",Copacabana,Entire rental unit,Entire home/apt,4,1.0,1.0,92.0,2,210,t,112,4.71,t
95021782,2016-09-13,1974950,"Quiet, cozy, comfy, with terrace next to the beach",Copacabana,Entire rental unit,Entire home/apt,6,2.0,5.0,440.0,3,25,t,60,4.72,f
55021585,2016-01-17,7762471,Agradável suíte entre a Barra e o Recreio,Barra da Tijuca,Private room in condominium (condo),Private room,3,1.0,2.0,297.0,1,1125,t,12,4.45,f
52988666,2016-01-01,10298968,Apto de 3 Qtos a Passos da Praia de Copacabana,Copacabana,Entire rental unit,Entire home/apt,6,3.0,4.0,184.0,80,1124,t,45,4.43,f
53030738,2016-01-02,10306767,Copacabana - Esq Av Atlantica,Copacabana,Entire rental unit,Entire home/apt,5,1.0,1.0,250.0,2,1125,t,3,4.67,f
53027036,2016-01-02,10306879,Alugo Apart frente mar Barra Tijuca,Barra da Tijuca,Entire rental unit,Entire home/apt,4,1.0,2.0,1356.0,10,90,t,0,,f
53090908,2016-01-02,10319749,Perfect place close  olimpic games,Jacarepaguá,Entire rental unit,Entire home/apt,3,2.0,3.0,2164.0,1,1125,t,0,,f
53185462,2016-01-03,10334986,Studio em Copacabana bem localizado,Copacabana,Entire rental unit,Entire home/apt,3,,2.0,150.0,2,1125,t,7,4.71,f
53190228,2016-01-03,10335776,FULLY FURNISHED 2 Bedroom in condo,Jacarepaguá,Entire rental unit,Entire home/apt,4,2.0,3.0,250.0,7,1125,t,5,5.0,f
53363257,2016-01-04,10368092,Apartment next to Barra Olympic Park 4.8 km,Jacarepaguá,Entire rental unit,Entire home/apt,4,2.0,3.0,300.0,5,1125,t,0,,f
53413992,2016-01-05,10377033,Quarto Suite Loft Barra da tijuca.,Barra da Tijuca,Private room in rental unit,Private room,2,2.0,2.0,450.0,2,1125,t,2,5.0,f
53426240,2016-01-05,10379006,Alugo para os Jogos Olímplicos,Barra da Tijuca,Entire residential home,Entire home/apt,10,2.0,3.0,541.0,30,30,t,0,,t
53232914,2016-01-03,10380750,Copacabana perto da praia!,Copacabana,Entire loft,Entire home/apt,2,1.0,1.0,200.0,3,30,t,4,5.0,f
53437598,2016-01-05,10381012,Pequeno conjugado silencioso Praia/Metrô,Copacabana,Entire loft,Entire home/apt,2,1.0,1.0,250.0,2,7,t,6,5.0,f
53435241,2016-01-05,10381048,Cantinho do Nico - Barra - Rio Centro,Jacarepaguá,Entire rental unit,Entire home/apt,6,2.0,3.0,163.0,2,355,t,47,4.87,t
53456446,2016-01-05,10384586,Olimpiadas  cobertura Barra Tijuca,Barra da Tijuca,Entire rental unit,Entire home/apt,1,3.0,3.0,608.0,3,1125,t,2,5.0,t
53488974,2016-01-05,10389984,Ótimo 2quartos No Pólo Olímpico.,Jacarepaguá,Entire rental unit,Entire home/apt,4,2.0,2.0,850.0,17,30,t,0,,t
53528275,2016-01-06,10396345,Alugo p Olimpíadas 2016 e Temporada,Recreio dos Bandeirantes,Entire rental unit,Entire home/apt,5,3.0,3.0,1000.0,10,1125,t,0,,f
53540018,2016-01-06,10398619,Alugo apartamento completo,Recreio dos Bandeirantes,Entire rental unit,Entire home/apt,2,1.0,1.0,2164.0,1,1125,t,0,,f
53588365,2016-01-06,10407056,Pequenas festas e eventos! Ambiente famíliar❤.,Jacarepaguá,Entire residential home,Entire home/apt,16,,0.0,2000.0,1,1125,t,8,5.0,f
53588365,2016-01-06,10408229,"Casa ideal pra suas férias,tranquila e segura! ❤️❤️❤️",Jacarepaguá,Entire residential home,Entire home/apt,6,3.0,5.0,764.0,6,20,t,3,4.0,f
53615271,2016-01-06,10411602,Hotel Apartment with Pool,Copacabana,Entire rental unit,Entire home/apt,2,1.0,1.0,250.0,7,365,t,20,4.9,f
53684322,2016-01-07,10424110,Praia Ipanema Posto 9┃ Elevador┃Cozinha┃WiFi┃🚘Vaga,Ipanema,Entire rental unit,Entire home/apt,6,2.0,4.0,257.0,3,20,t,21,5.0,f
53723061,2016-01-07,10434268,Ipanema Beach Side 3 bedrooms perfect location,Ipanema,Entire rental unit,Entire home/apt,6,3.0,4.0,1600.0,30,1125,t,3,5.0,t
53819334,2016-01-08,10447269,"Apto. na Avenida Atlântica, Posto 5",Copacabana,Entire rental unit,Entire home/apt,6,3.0,5.0,397.0,4,1125,t,86,4.92,t
53615271,2016-01-06,10459825,HOTEL RESIDENCE with Services an Pool,Copacabana,Entire serviced apartment,Entire home/apt,2,1.0,2.0,150.0,10,365,t,43,4.98,f
54040521,2016-01-10,10484742,COPACABANA-INCREDIBLE VIEW,Copacabana,Entire rental unit,Entire home/apt,8,3.0,4.0,400.0,1,1125,t,66,4.73,f
54061626,2016-01-10,10487878,Cozyness and location: your feet on sand in Barra!,Barra da Tijuca,Entire condominium (condo),Entire home/apt,2,1.0,4.0,407.0,4,30,t,9,4.89,f
54071250,2016-01-10,10489320,Carnaval na Barra da Tijuca - Rio de Janeiro,Jacarepaguá,Entire rental unit,Entire home/apt,5,3.0,3.0,1500.0,4,1125,t,0,,t
54105776,2016-01-10,10495668,OASIS IN BARRA DA TIJUCA/RIO DE JANEIRO,Barra da Tijuca,Private room in residential home,Private room,2,1.0,1.0,200.0,3,1125,t,2,5.0,f
54129243,2016-01-10,10499372,Best of Copacabana!,Copacabana,Entire rental unit,Entire home/apt,6,2.0,5.0,1082.0,730,730,t,4,4.75,f
54158883,2016-01-11,10505548,Apartamento completo de 4 quartos,Jacarepaguá,Entire rental unit,Entire home/apt,6,2.0,5.0,2434.0,1,1125,t,0,,f
54214996,2016-01-11,10515480,Apartamento para Olimpíadas no Rio,Jacarepaguá,Entire rental unit,Entire home/apt,4,2.0,2.0,1352.0,20,30,t,0,,f
54221119,2016-01-11,10519173,Condomínio Praia Barra da Tijuca,Barra da Tijuca,Entire condominium (condo),Entire home/apt,5,2.0,5.0,635.0,7,1125,t,23,4.81,t
54235954,2016-01-11,10519331,Coração do Jardim Oceânico!,Barra da Tijuca,Entire rental unit,Entire home/apt,4,3.0,3.0,1200.0,2,7,t,4,5.0,t
54273140,2016-01-11,10528023,BARRA PANORÂMICO/Lazer Total/Perto tudo - MÊS/DIA,Barra da Tijuca,Entire rental unit,Entire home/apt,5,3.0,3.0,800.0,4,30,t,1,5.0,f
54363106,2016-01-12,10542363,Ipanema 2 Quartos Moderno Luxo,Ipanema,Entire rental unit,Entire home/apt,4,2.0,3.0,400.0,3,180,t,176,4.98,t
54363156,2016-01-12,10542451,10 minutes to the Olympic Park.,Jacarepaguá,Entire rental unit,Entire home/apt,5,3.0,4.0,2056.0,7,30,t,0,,f
54371523,2016-01-12,10543662,"Apt Rio frente praia, linda vista!",Barra da Tijuca,Entire rental unit,Entire home/apt,3,1.0,1.0,353.0,5,1125,t,5,4.4,f
54398007,2016-01-12,10548128,Incrível Vista Mar,Barra da Tijuca,Entire condominium (condo),Entire home/apt,6,1.0,1.0,230.0,2,1125,t,197,4.81,f
54400729,2016-01-12,10548639,Minha casa é sua casa! Aconchego,Barra da Tijuca,Private room in rental unit,Private room,2,1.0,1.0,650.0,2,1125,t,0,,t
54491235,2016-01-13,10563225,Alto Nivel de Conforto,Copacabana,Entire rental unit,Entire home/apt,6,3.0,4.0,660.0,15,1125,t,0,,f
54526695,2016-01-13,10571439,"Barrabella, Apto na praia da Barra da Tijuca",Barra da Tijuca,Entire rental unit,Entire home/apt,4,1.0,1.0,229.0,3,1125,t,13,4.85,f
54626773,2016-01-14,10588319,Entre praia de Ipanema e Copacabana,Ipanema,Private room in residential home,Private room,1,1.0,1.0,321.0,2,7,t,8,4.63,f
54717456,2016-01-15,10604381,Alugo lindo apartamento p temporada,Barra da Tijuca,Entire rental unit,Entire home/apt,5,2.0,3.0,1900.0,1,1125,t,0,,f
54747965,2016-01-15,10612963,Design-Apartment Ipanema (102),Ipanema,Entire condominium (condo),Entire home/apt,4,1.0,2.0,315.0,3,1125,t,18,4.83,f
54859626,2016-01-16,10628534,BARRA DA TIJUCA GREAT APARTMENT,Barra da Tijuca,Entire rental unit,Entire home/apt,5,2.0,4.0,687.0,3,15,t,6,5.0,f
54871266,2016-01-16,10630100,Próximo à praia de Copacabana,Copacabana,Private room in rental unit,Private room,2,1.0,1.0,176.0,1,1125,t,6,5.0,f
54874691,2016-01-16,10644005,AP NA PRAIA RECREIO DOS BANDEIRANTES RJ.,Recreio dos Bandeirantes,Entire rental unit,Entire home/apt,6,2.0,6.0,286.0,1,15,t,1,5.0,f
55003302,2016-01-17,10651267,Mansão Barra da Tijuca,Barra da Tijuca,Entire residential home,Entire home/apt,12,5.0,8.0,4334.0,20,1125,t,0,,f
55042735,2016-01-17,10657562,"BELA VISTA DA PRAIA! ☀️ Férias 🏖, Teletrabalho 💻⛱🌴⛵️",Copacabana,Entire rental unit,Entire home/apt,6,1.0,6.0,342.0,3,1125,t,94,4.9,t
54817682,2016-01-16,10657829,"Lovely 2 bdrms in Rio, Ipanema",Ipanema,Entire rental unit,Entire home/apt,5,2.0,5.0,600.0,2,1125,t,4,5.0,f
55087865,2016-01-18,10664808,Apartamento Copacabana Santa Clara,Copacabana,Entire condominium (condo),Entire home/apt,4,1.0,2.0,695.0,7,1125,t,0,,f
55137693,2016-01-18,10674261,Quarto para meninas ou amigas Para Réveillon 2020,Copacabana,Private room in rental unit,Private room,4,1.0,1.0,500.0,2,1125,t,0,,f
55142723,2016-01-18,10675163,Apartamento Copacabana  Rio BR,Copacabana,Entire rental unit,Entire home/apt,4,1.0,4.0,268.0,4,1125,t,1,0.0,f
55039030,2016-01-17,10681037,Olympic Games Rio 2016 - Apartment Barra,Jacarepaguá,Entire rental unit,Entire home/apt,5,2.0,3.0,1000.0,7,1125,t,0,,t
55114814,2016-01-18,10700032,Quarto aconchegante em copacabana,Copacabana,Private room in rental unit,Private room,2,1.0,1.0,1329.0,3,20,t,0,,f
55011592,2016-01-17,10719934,Excelente apartamen olimpíedas 2016,Jacarepaguá,Entire rental unit,Entire home/apt,4,2.0,4.0,1302.0,5,120,t,0,,f
55406034,2016-01-20,10720790,Studio in Copa com vista para o mar,Copacabana,Entire rental unit,Entire home/apt,4,,2.0,190.0,2,1125,t,50,4.8,f
55422323,2016-01-20,10723925,Casa equipada com transporte,Recreio dos Bandeirantes,Entire residential home,Entire home/apt,8,3.0,4.0,3003.0,3,90,t,0,,t
55451495,2016-01-20,10728624,Belissimo apartamento 3 quartos Copacabana/Ipanema,Copacabana,Entire rental unit,Entire home/apt,6,3.0,3.0,750.0,7,30,t,5,4.0,f
54309306,2016-01-12,10728663,Studio in the best location of Copa,Copacabana,Entire rental unit,Entire home/apt,4,1.0,2.0,191.0,2,45,t,197,4.76,t
55469839,2016-01-20,10731488,ToTAl infraestrutura ! Great Place!,Barra da Tijuca,Entire rental unit,Entire home/apt,5,1.0,2.0,2164.0,1,5,t,0,,f
55482273,2016-01-20,10733116,Great House with 4 bedrooms and garage,Barra da Tijuca,Entire residential home,Entire home/apt,9,4.0,6.0,1600.0,5,30,t,2,4.5,f
55317236,2016-01-19,10739905,45 Seconds to Copacabana Beach,Copacabana,Entire rental unit,Entire home/apt,4,1.0,2.0,803.0,2,1125,t,1,5.0,f
