anfitriao_id,anf_data_cadastro,id_anuncio,nome_anuncio,bairro,tipo_propriedade,tipo_acomodacao,numero_hospedes,quartos,camas,preco,min_noites,max_noites,disponivel,numero_avaliaçoes,pontuacao_avaliacoes,confirmacao_instantanea
68997,2010-01-08,17878,"Very Nice 2Br in Copacabana w. balcony, fast WiFi",Copacabana,Entire condominium (condo),Entire home/apt,5,2.0,2.0,350.0,4,180,t,265,4.68,t
99249,2010-03-26,24480,"Nice and cozy near Ipanema Beach, w/ home office",Ipanema,Entire rental unit,Entire home/apt,2,1.0,1.0,297.0,3,90,t,85,4.73,f
102840,2010-04-03,25026,Beautiful Modern Decorated Studio in Copa,Copacabana,Entire rental unit,Entire home/apt,2,1.0,2.0,160.0,7,60,t,238,4.68,f
153232,2010-06-27,35636,Cosy flat close to Ipanema beach,Ipanema,Entire rental unit,Entire home/apt,2,1.0,1.0,271.0,2,89,t,181,4.72,f
153691,2010-06-27,35764,COPACABANA SEA BREEZE  -  RIO - 20 X Superhost,Copacabana,Entire loft,Entire home/apt,2,1.0,1.0,121.0,3,15,t,371,4.9,f
70933,2010-01-16,48305,Bright 6bed Penthouse Seconds from Beach,Ipanema,Entire rental unit,Entire home/apt,13,6.0,7.0,2405.0,2,89,t,85,4.59,t
221941,2010-09-02,48726,Rio de Janeiro Copacabana Ipanema,Copacabana,Private room in rental unit,Private room,1,1.0,1.0,107.0,3,30,t,42,4.88,f
222884,2010-09-03,48901,Confortable 4BD 3.5BT Atlantic avenue,Copacabana,Entire rental unit,Entire home/apt,10,4.0,6.0,687.0,3,750,t,4,4.33,f
224192,2010-09-05,49179,Djalma Ocean View Studio with Amazing Views #100A,Copacabana,Entire rental unit,Entire home/apt,3,1.0,1.0,170.0,3,90,t,100,4.73,t
70933,2010-01-16,50294,Ipanema Beach Block Suites Just Seconds from the Beach,Ipanema,Entire rental unit,Entire home/apt,6,3.0,3.0,882.0,2,89,t,74,4.46,f
393296342,2021-03-19,50759,Casanova Residence great for shoots and events,Barra da Tijuca,Entire residential home,Entire home/apt,14,6.0,10.0,3050.0,1,730,t,7,4.57,f
238091,2010-09-18,51703,"Ocean view, block of the beach, Copacabana,Ipanema",Copacabana,Entire rental unit,Entire home/apt,2,,2.0,141.0,3,1125,t,177,4.75,t
