anfitriao_id,anfitriao_nome,anf_data_cadastro,anf_tempo_resposta,anf_taxa_resposta,anf_taxa_aceitacao,super_anfitriao,anf_bairro,anf_num_total_anuncios,anf_foto_perfil,anf_identidade_verificada
68997,Matthias,2010-01-08,within an hour,100%,98%,f,Copacabana,2.0,t,t
99249,Goya,2010-03-26,within a day,50%,,f,Ipanema,0.0,t,t
102840,Viviane,2010-04-03,within a day,50%,36%,f,Copacabana,3.0,t,t
153232,Patricia,2010-06-27,within a day,100%,,t,Ipanema,1.0,t,t
153691,Patricia Miranda & Paulo,2010-06-27,within a day,100%,97%,t,Copacabana,1.0,t,t
70933,Goitaca,2010-01-16,within a day,83%,85%,f,Ipanema,10.0,t,t
221941,Vana,2010-09-02,within an hour,100%,100%,f,Copacabana,2.0,t,t
222884,Marcio,2010-09-03,within an hour,100%,100%,f,Copacabana,4.0,t,t
224192,David,2010-09-05,within an hour,100%,99%,t,Copacabana,48.0,t,t
393296342,Alex,2021-03-19,,,,f,,2.0,f,f
238091,Dália,2010-09-18,within an hour,100%,100%,t,Copacabana,2.0,t,t
249439,Sherri & Andre,2010-09-30,within an hour,100%,67%,f,Joá,1.0,t,t
93005,Andrea,2010-03-14,within a few hours,100%,96%,t,Ipanema,1.0,t,f
326301,Frederic,2010-12-24,within a few hours,67%,0%,f,Flamengo,2.0,t,t
328096,Carlos,2010-12-27,within an hour,100%,100%,t,Copacabana,3.0,t,t
339264,David,2011-01-08,,,,f,Copacabana,1.0,t,f
319672,Valeria,2010-12-15,within an hour,100%,99%,t,Ipanema,5.0,t,t
384673,Pedro,2011-02-09,within a day,100%,100%,f,Copacabana,1.0,t,t
406651,Diogo,2011-02-23,within a few hours,90%,100%,f,Copacabana,0.0,t,t
406989,Casa 48 Guesthouse,2011-02-23,,,,f,Santa Teresa,7.0,t,t
411441,Marcelle,2011-02-26,within a few hours,90%,78%,t,Lapa,1.0,t,t
110002,Silvia,2010-04-17,within an hour,100%,87%,t,Gávea,8.0,t,t
432777,Andreas,2011-03-09,,,,f,Santa Teresa,2.0,t,t
470565,Sebastian,2011-03-29,within a few hours,78%,96%,f,Copacabana,5.0,t,t
474221,June,2011-03-31,,,,f,Leblon,7.0,t,t
476162,Simone,2011-03-31,within an hour,96%,90%,f,Copacabana,10.0,t,t
476838,Antonio,2011-04-01,,,,f,Barra da Tijuca,1.0,t,t
480527,Pablo,2011-04-03,within an hour,100%,95%,f,Ipanema,3.0,t,t
483023,Geny,2011-04-04,,,,f,Laranjeiras,1.0,t,f
488707,Celia,2011-04-06,,,,t,Ipanema,1.0,t,t
506187,Sheila,2011-04-13,within an hour,100%,50%,f,Copacabana,3.0,t,t
